Conf,Conf Abb,Expenses Title,FBS Conference,FBS Conference Labels,Ipeds Id,Make Money?,NCAA Subdivision,Profits Title,Revenues Title,School,School Abb,School | Conf SAA,School | Conf SAA (copy),Schools | SA,Schools | SA Shapes,Total Profit (bin),Year,% of Revenue from Athletics,"Annual Debt Service, Leases and Rental Fees on Athletic Facilities","Annual Debt Service, Leases and Rental Fees on Athletic Facilities Expense",Athletic Student Aid,Athletic Student Aid Expense,Athletics Related Debt,Athletics Related Debt Expense,Coaches Compensation,Competition Guarantees - Paid,Competition Guarantees - Paid Out,Competition Guarantees - Paid Out Expense,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Excess Transfers Back,Excess Transfers Back Expense,Expenses | 2017,Expenses | 2017 YoY,Expenses | 2017 YoY ▲,Expenses | 2017 YoY ▼,Facilities and Equipment,Facilities and Equipment Expense,Game Expenses and Travel,Game Expenses and Travel Expense,Institutional/Government Support,Medical,Medical Expense,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Number of Records,Other Expenses,Other Expenses Expense,Other Revenue,Profit | 2017,Profit | 2017 YoY,Profit | 2017 YoY ▲,Profit | 2017 YoY ▼,Recruiting,Recruiting Expense ,Revenues | 2017,Revenues | 2017 YoY,Revenues | 2017 YoY ▲,Revenues | 2017 YoY ▼,Student Fees,SUM(1),Support and Admin Compensation w/Severance,Support and Admin Compensation w/Severance Expense,Ticket Sales,Total Academic Spending (University-Wide),Total Expenses,Total Expenses Expense,Total Expenses Line Dot,Total Football Coaching Salaries,Total Football Coaching Salaries Expense,Total Football Spending,Total Football Spending Expense,Total Profit,Total Profit Line Dot,Total Revenues,Total Revenues Line Dot,Year | ACC,Year | B10,Year | B12,Year | B12 (copy 2)
False,SUN,Expenses,Sun Belt Conference,Sun,218724,Lost Money,Football Bowl Subdivision,Profits,Revenues,Coastal Carolina University,CCU,,,,► SUN,-2000K,2017,0.124801351,2579552,-2579552,8621818,-8621818,33971971,-33971971,5553763,153000,937087,-937087,1171379,1040710,0,0,,,,,9253031,-9253031,3595153,-3595153,23531128,122883,-122883,2089334,1,1357198,-1357198,205687,,,,,565120,-565120,,,,,4720165,1,3698430,-3698430,792591,199370861,33704483,-33704483,,1718546,-1718546,9504369,-9504369,-489,,33703994,,,,,2
False,MWC,Expenses,Mountain West Conference,MWC,126818,Made Money,Football Bowl Subdivision,Profits,Revenues,Colorado State University,CSU,,,,► MWC,0K,2017,0.352114420,8057078,-8057078,9171934,-9171934,234886218,-234886218,9148513,273278,760820,-760820,5945315,3740779,0,0,,,,,6251671,-6251671,5374488,-5374488,17421891,949865,-949865,5279699,1,5173237,-5173237,1936533,,,,,885327,-885327,,,,,5843347,1,6249767,-6249767,4231475,765890976,43965622,-43965622,,4301584,-4301584,15414479,-15414479,706695,,44672317,,,,,2
False,AAC,Expenses,American Athletic Conference,AAC,198464,Lost Money,Football Bowl Subdivision,Profits,Revenues,East Carolina University,ECU,,,,► AAC,-2000K,2017,0.334279372,4480330,-4480330,8864685,-8864685,36259395,-36259395,8250222,1204500,1206600,-1206600,2404999,11008954,0,0,,,,,11550020,-11550020,5065786,-5065786,4580070,599434,-599434,5273526,1,3279158,-3279158,1414048,,,,,995084,-995084,,,,,15159430,1,8576298,-8576298,7266784,551287620,48387287,-48387287,,3308734,-3308734,11286123,-11286123,-74976,,48312311,,,,,2
False,MAC,Expenses,Mid-American Conference,MAC,169798,Made Money,Football Bowl Subdivision,Profits,Revenues,Eastern Michigan University,EMU,,,,► MAC,0K,2017,0.233805616,1438325,-1438325,9359930,-9359930,30451389,-30451389,6160906,1755950,552500,-552500,60674,1073330,0,0,,,,,4736769,-4736769,3831625,-3831625,23109498,720341,-720341,4961550,1,2251590,-2251590,573868,,,,,797474,-797474,,,,,0,1,3900111,-3900111,776377,250923828,32311246,-32311246,,1980225,-1980225,9033501,-9033501,1,,32311247,,,,,2
False,CUSA,Expenses,Conference USA,CUSA,133669,Made Money,Football Bowl Subdivision,Profits,Revenues,Florida Atlantic University,FAU,,,,► CUSA,0K,2017,0.157151940,3450154,-3450154,5960270,-5960270,46296805,-46296805,6172499,1440500,658500,-658500,703172,2806153,0,0,,,,,9889598,-9889598,4280107,-4280107,11291932,708571,-708571,2362941,1,2217122,-2217122,2326748,,,,,571448,-571448,,,,,12661229,1,3644568,-3644568,916584,417472675,34102683,-34102683,,3011399,-3011399,8964723,-8964723,406576,,34509259,,,,,2
False,CUSA,Expenses,Conference USA,CUSA,133951,Made Money,Football Bowl Subdivision,Profits,Revenues,Florida International University,FIU,,,,► CUSA,0K,2017,0.173306328,1483991,-1483991,7186112,-7186112,29740000,-29740000,5296917,161100,970904,-970904,809233,3093771,0,0,,,,,5738489,-5738489,3337957,-3337957,2932273,284864,-284864,4003009,1,3546784,-3546784,480714,,,,,494010,-494010,,,,,21096485,1,6147662,-6147662,813344,883266128,33003699,-33003699,,2551009,-2551009,11387450,-11387450,386230,,33389929,,,,,2
True,ACC,Expenses,Atlantic Coast Conference,ACC,134097,Made Money,Football Bowl Subdivision,Profits,Revenues,Florida State University,FSU,FSU,,,► ACC,0K,2017,0.500807418,13274847,-13274847,11332262,-11332262,166765000,-166765000,21939295,3625600,1777808,-1777808,8563679,41504734,13178557,-13178557,,,,,27120398,-27120398,18810911,-18810911,0,2212762,-2212762,35138564,1,36619724,-36619724,23189346,,,,,3292265,-3292265,,,,,7446443,1,20267836,-20267836,25046047,938285315,156551818,-156551818,,10621640,-10621640,49787657,-49787657,1141152,,144514413,,2017,,,1
True,ACC,Expenses,Atlantic Coast Conference,ACC,139755,Lost Money,Football Bowl Subdivision,Profits,Revenues,Georgia Institute of Technology,GT,GT,,,► ACC,-4000K,2017,0.574805364,13414115,-13414115,10688109,-10688109,226134879,-226134879,14654114,326000,1879986,-1879986,5778306,11187993,0,0,,,,,28249186,-28249186,10172178,-10172178,2264352,1030544,-1030544,29136519,1,3672872,-3672872,15925355,,,,,1406651,-1406651,,,,,5387074,1,13098483,-13098483,11756425,1454535740,84852123,-84852123,,7170531,-7170531,22366948,-22366948,-3090099,,81762024,,2017,,,1
False,SUN,Expenses,Sun Belt Conference,Sun,139931,Made Money,Football Bowl Subdivision,Profits,Revenues,Georgia Southern University,GASO,,,,► SUN,0K,2017,0.257716685,1741580,-1741580,6846751,-6846751,23662973,-23662973,4922798,2120000,275000,-275000,1147101,4019592,0,0,,,,,6472786,-6472786,2802111,-2802111,7409267,372418,-372418,2504009,1,2730192,-2730192,681046,,,,,351246,-351246,,,,,9338410,1,3988303,-3988303,1675627,270376324,28761605,-28761605,,2321830,-2321830,6643743,-6643743,133447,,28895052,,,,,2
False,SUN,Expenses,Sun Belt Conference,Sun,139940,Made Money,Football Bowl Subdivision,Profits,Revenues,Georgia State University,GSU,,,,► SUN,0K,2017,0.222317296,0,0,7415845,-7415845,0,0,5949727,1509083,510274,-510274,445630,879632,0,0,,,,,3474252,-3474252,3106244,-3106244,3158334,268391,-268391,3970344,1,4092349,-4092349,206385,,,,,451977,-451977,,,,,19265155,1,4590361,-4590361,795640,642483694,29859420,-29859420,,2365661,-2365661,7951547,-7951547,370783,,30230203,,,,,2
